	state	length_of_encounter_seconds
8	District of Columbia	243.1875
20	Maryland	841.1666259168704
7	Delaware	866.4818181818182
13	Illinois	872.056832856559
15	Iowa	917.1539611360239
12	Idaho	935.5714566929133
45	Vermont	1042.4625984251968
22	Michigan	1064.0758562605279
37	Oregon	1064.5622555488903
40	South Carolina	1105.037322515213
27	Nebraska	1112.1764705882354
25	Missouri	1128.3988819007686
34	North Dakota	1140.439024390244
33	North Carolina	1194.032704585026
36	Oklahoma	1194.8351540616247
19	Maine	1203.082536764706
21	Massachusetts	1294.7180936995153
16	Kansas	1386.508347245409
23	Minnesota	1388.3557530120484
5	Colorado	1388.9595667870037
0	Alabama	1430.7198412698413
35	Ohio	1458.159254327563
50	Wyoming	1487.8284023668639
42	Tennessee	1698.8336080586082
49	Wisconsin	1928.4226556016597
39	Rhode Island	2111.1629464285716
29	New Hampshire	2225.723029045643
26	Montana	2283.9108695652176
43	Texas	2484.5952486025303
41	South Dakota	2713.8898305084745
4	California	2863.439828420083
32	New York	3052.538439108062
28	Nevada	3076.3675449871466
14	Indiana	3180.1227917981073
6	Connecticut	3591.6614318706697
38	Pennsylvania	3928.5705045278137
17	Kentucky	4070.636848341232
1	Alaska	4681.231511254019
44	Utah	5594.049099836334
31	New Mexico	5851.780072150072
30	New Jersey	6298.522653721683
2	Arizona	6542.5464013547835
48	West Virginia	6777.797266514806
10	Georgia	7702.652184466019
24	Mississippi	9205.623306233063
46	Virginia	10902.86939102564
18	Louisiana	12444.65693430657
9	Florida	14890.784496537028
47	Washington	15261.325994609166
11	Hawaii	26196.439688715953
3	Arkansas	115892.98356401385
